RelativeTime_s,Player_Anim,Player_Anim_Hex,Target_Anim,Target_Anim_Hex
0.000,12020210,0xB769F2,2002000,0x1E8C50
0.010,12020210,0xB769F2,2002000,0x1E8C50
0.142,12020210,0xB769F2,2002000,0x1E8C50
0.168,12020210,0xB769F2,2002000,0x1E8C50
0.199,12020210,0xB769F2,2002000,0x1E8C50
0.229,12020210,0xB769F2,2002000,0x1E8C50
0.260,12020210,0xB769F2,2002000,0x1E8C50
0.292,12020210,0xB769F2,2002000,0x1E8C50
0.342,12020210,0xB769F2,2002000,0x1E8C50
0.353,12020210,0xB769F2,2002000,0x1E8C50
0.386,12020210,0xB769F2,2002000,0x1E8C50
0.416,12020210,0xB769F2,2002000,0x1E8C50
0.449,12020210,0xB769F2,2002000,0x1E8C50
0.482,12020210,0xB769F2,2002000,0x1E8C50
0.511,12020210,0xB769F2,2002000,0x1E8C50
0.542,12020210,0xB769F2,2002000,0x1E8C50
0.653,12020210,0xB769F2,2002000,0x1E8C50
0.668,12020210,0xB769F2,2002000,0x1E8C50
0.700,12020210,0xB769F2,2002000,0x1E8C50
0.730,12020210,0xB769F2,2002000,0x1E8C50
0.763,12020210,0xB769F2,2002000,0x1E8C50
0.790,12020210,0xB769F2,2002000,0x1E8C50
0.844,12020210,0xB769F2,2002000,0x1E8C50
0.856,12020210,0xB769F2,2002000,0x1E8C50
0.885,12020210,0xB769F2,2002000,0x1E8C50
0.916,12020210,0xB769F2,2002000,0x1E8C50
0.948,12020210,0xB769F2,2002000,0x1E8C50
0.982,12020210,0xB769F2,2002000,0x1E8C50
1.011,12020210,0xB769F2,2002000,0x1E8C50
1.044,12020210,0xB769F2,2002000,0x1E8C50
1.189,12020210,0xB769F2,2002000,0x1E8C50
1.199,12020210,0xB769F2,2002000,0x1E8C50
1.229,12020210,0xB769F2,2002000,0x1E8C50
1.261,12020210,0xB769F2,2002000,0x1E8C50
1.292,12020210,0xB769F2,2002000,0x1E8C50
1.339,12020210,0xB769F2,2002000,0x1E8C50
1.354,12020210,0xB769F2,2002000,0x1E8C50
1.386,12020210,0xB769F2,2002000,0x1E8C50
1.417,12020210,0xB769F2,2002000,0x1E8C50
1.446,12020210,0xB769F2,2002000,0x1E8C50
1.480,12020210,0xB769F2,2002000,0x1E8C50
1.510,12020210,0xB769F2,2002000,0x1E8C50
1.540,12020210,0xB769F2,2002000,0x1E8C50
1.573,12020210,0xB769F2,2002000,0x1E8C50
1.686,12020210,0xB769F2,2002000,0x1E8C50
1.697,12020210,0xB769F2,2002000,0x1E8C50
1.729,12020210,0xB769F2,2002000,0x1E8C50
1.760,12020210,0xB769F2,2002000,0x1E8C50
1.791,12020210,0xB769F2,2002000,0x1E8C50
1.846,12020210,0xB769F2,2002000,0x1E8C50
1.854,12020210,0xB769F2,2002000,0x1E8C50
1.885,12020210,0xB769F2,2002000,0x1E8C50
1.916,12020210,0xB769F2,2002000,0x1E8C50
1.949,12020210,0xB769F2,2002000,0x1E8C50
1.978,12020210,0xB769F2,2002000,0x1E8C50
2.011,12020210,0xB769F2,2002000,0x1E8C50
2.042,12020210,0xB769F2,2002000,0x1E8C50
2.074,12020210,0xB769F2,2002000,0x1E8C50
2.205,12020210,0xB769F2,2002000,0x1E8C50
2.228,12020210,0xB769F2,2002000,0x1E8C50
2.262,12020210,0xB769F2,2002000,0x1E8C50
2.294,12020210,0xB769F2,2002000,0x1E8C50
2.354,12020210,0xB769F2,2002000,0x1E8C50
2.357,12020210,0xB769F2,2002000,0x1E8C50
2.389,12020210,0xB769F2,2002000,0x1E8C50
2.418,12020110,0xB7698E,2002000,0x1E8C50
2.447,12020110,0xB7698E,2002000,0x1E8C50
2.478,12020110,0xB7698E,2002000,0x1E8C50
2.512,12020110,0xB7698E,2002000,0x1E8C50
2.543,12020110,0xB7698E,2002000,0x1E8C50
2.572,12020110,0xB7698E,2002000,0x1E8C50
2.606,12020110,0xB7698E,2002000,0x1E8C50
2.719,12020110,0xB7698E,2002000,0x1E8C50
2.733,12020110,0xB7698E,2002000,0x1E8C50
2.759,12020110,0xB7698E,2002000,0x1E8C50
2.791,12020110,0xB7698E,2002000,0x1E8C50
2.852,12020110,0xB7698E,2002003,0x1E8C53
2.855,12020110,0xB7698E,2002003,0x1E8C53
2.884,12020110,0xB7698E,2002003,0x1E8C53
2.916,12020110,0xB7698E,2002003,0x1E8C53
2.948,12020110,0xB7698E,2002003,0x1E8C53
2.980,12020110,0xB7698E,2002003,0x1E8C53
